CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12318,59,1,109.92,5,1,2,512
12322,335,1,58.26,1,1,1,111
12326,250,1,88.54,2,1,2,212
12330,12,1,237.67,5,1,4,514
12333,138,2,537.37,4,5,5,455
12358,124,1,334.79,4,1,4,414
12359,80,1,325.16,4,1,4,414
12360,55,1,54.85,5,1,1,511
12365,99,1,98.18,4,1,2,412
12374,123,1,288.51,4,1,4,414
12380,213,1,256.63,3,1,4,314
12382,288,2,302.45,2,5,4,254
12390,191,2,580.14,3,5,5,355
12398,54,1,119.0,5,1,2,512
12413,331,1,43.66,1,1,1,111
12427,260,1,76.15,2,1,2,212
12428,14,1,180.52,5,1,3,513
12431,156,1,259.31,3,1,4,314
12435,6,1,131.52,5,1,2,512
12441,17,1,315.78,5,1,4,514
12452,130,1,55.87,4,1,1,411
12474,148,1,144.49,3,1,3,313
12493,30,1,190.23,5,1,3,513
12496,214,1,611.71,3,1,5,315
12511,226,1,87.72,2,1,2,212
12517,283,1,185.31,2,1,3,213
12522,155,1,57.35,3,1,1,311
12524,353,1,381.63,1,1,4,114
12528,79,1,2324.06,4,1,5,415
12531,363,1,118.13,1,1,2,112
12535,298,1,160.87,1,1,3,113
12536,26,1,228.27,5,1,4,514
12562,336,1,41.54,1,1,1,111
12565,193,1,235.26,3,1,4,314
12574,82,1,336.4,4,1,4,414
12585,357,1,142.12,1,1,3,113
12594,176,1,209.06,3,1,3,313
12597,331,1,100.95,1,1,2,112
12598,284,1,134.99,2,1,3,213
12610,222,1,106.37,2,1,2,212
12614,308,1,55.0,1,1,1,111
12618,5,1,559.55,5,1,5,515
12644,343,1,22.47,1,1,1,111
12645,12,1,306.99,5,1,4,514
12646,193,1,19.32,3,1,1,311
12647,16,1,288.92,5,1,4,514
12676,312,1,158.87,1,1,3,113
12677,187,1,400.07,3,1,5,315
12680,172,1,756.67,3,1,5,315
12684,21,1,79.69,5,1,2,512
12692,251,1,420.14,2,1,5,215
12693,194,2,539.44,3,5,5,355
12696,185,1,106.81,3,1,2,312
12703,86,1,273.83,4,1,4,414
12706,93,1,28.59,4,1,1,411
12743,90,1,20.23,4,1,1,411
12762,67,1,357.49,5,1,4,514
12774,239,1,158.9,2,1,3,213
12814,136,1,1078.91,4,1,5,415
12824,176,1,66.78,3,1,1,311
12825,358,1,311.66,1,1,4,114
12837,361,1,244.0,1,1,4,114
12840,94,1,199.03,4,1,3,413
12842,320,1,61.11,1,1,1,111
12843,212,1,147.17,3,1,3,313
12857,351,1,397.83,1,1,5,115
12890,351,1,768.25,1,1,5,115
12895,349,1,97.49,1,1,2,112
12896,321,1,64.84,1,1,1,111
12899,141,1,732.88,4,1,5,415
12900,48,1,609.22,5,1,5,515
12915,286,1,200.0,2,1,3,213
12924,184,1,160.65,3,1,3,313
12931,338,1,145.58,1,1,3,113
12932,183,1,120.46,3,1,2,312
12933,245,1,51.45,2,1,1,211
12936,21,1,56.33,5,1,1,511
12952,92,1,280.93,4,1,4,414
12969,15,1,311.85,5,1,4,514
12970,9,1,165.83,5,1,3,513
12979,315,1,326.39,1,1,4,114
12990,311,1,68.11,1,1,1,111
13003,338,1,216.79,1,1,3,113
13004,51,1,247.26,5,1,4,514
13031,297,1,546.39,1,1,5,115
13038,262,1,1322.93,2,1,5,215
13047,184,1,191.12,3,1,3,313
13051,247,1,221.35,2,1,3,213
13052,360,1,267.94,1,1,4,114
13068,360,1,39.81,1,1,1,111
13074,132,1,769.07,4,1,5,415
13075,87,2,414.1,4,5,5,455
13120,226,1,38.35,2,1,1,211
13134,206,1,117.44,3,1,2,312
13136,95,1,158.1,4,1,3,413
13145,1,1,97.48,5,1,2,512
13172,127,1,347.44,4,1,4,414
13180,67,1,224.8,5,1,4,514
13243,8,2,455.79,5,5,5,555
13259,302,1,421.09,1,1,5,115
13267,230,1,30.32,2,1,1,211
13270,289,1,140.64,2,1,3,213
13283,69,1,376.83,5,1,4,514
13284,274,1,227.16,2,1,4,214
13300,287,1,332.35,2,1,4,214
13307,269,1,230.36,2,1,4,214
13309,210,1,267.43,3,1,4,314
13317,181,1,296.29,3,1,4,314
13333,266,1,218.94,2,1,3,213
13336,32,2,378.07,5,5,4,554
13345,222,1,239.99,2,1,4,214
13366,11,1,96.89,5,1,2,512
13378,144,1,148.78,3,1,3,313
13384,165,1,271.77,3,1,4,314
13394,242,1,210.24,2,1,3,213
13398,217,1,255.02,2,1,4,214
13403,9,1,70.94,5,1,1,511
13405,331,1,73.71,1,1,1,111
13417,179,1,228.86,3,1,4,314
13421,79,1,160.64,4,1,3,413
13452,65,1,412.04,5,1,5,515
13458,61,1,44.37,5,1,1,511
13489,273,1,122.47,2,1,2,212
13502,63,1,214.17,5,1,3,513
13512,146,1,182.91,3,1,3,313
13514,306,1,261.62,1,1,4,114
13529,80,1,256.04,4,1,4,414
13540,247,1,326.39,2,1,4,214
13541,148,1,399.11,3,1,5,315
13543,318,1,104.49,1,1,2,112
13545,59,1,51.87,5,1,1,511
13554,244,1,64.51,2,1,1,211
13566,28,1,176.81,5,1,3,513
13586,73,1,157.51,4,1,3,413
13597,192,1,723.52,3,1,5,315
13603,186,1,406.54,3,1,5,315
13607,105,1,440.56,4,1,5,415
13608,138,1,1077.55,4,1,5,415
13611,60,1,98.35,5,1,2,512
13618,156,1,41.46,3,1,1,311
13629,300,1,62.91,1,1,1,111
13634,231,2,608.82,2,5,5,255
13647,81,1,146.82,4,1,3,413
13663,115,2,606.81,4,5,5,455
13678,68,1,29.6,5,1,1,511
13687,128,1,101.2,4,1,2,412
13700,214,1,48.74,3,1,1,311
13704,262,1,632.85,2,1,5,215
13708,84,1,224.76,4,1,4,414
13721,361,1,505.32,1,1,5,115
13728,162,1,1303.38,3,1,5,315
13729,202,1,204.65,3,1,3,313
13732,222,1,42.17,2,1,1,211
13743,10,1,349.06,5,1,4,514
13746,227,1,47.17,2,1,1,211
13752,224,1,319.93,2,1,4,214
13763,279,1,371.84,2,1,4,214
13824,119,1,81.91,4,1,2,412
13831,37,2,636.32,5,5,5,555
13839,151,1,135.85,3,1,3,313
13853,90,1,519.1,4,1,5,415
13854,207,1,43.89,3,1,1,311
13856,235,1,34.56,2,1,1,211
13877,278,1,670.96,2,1,5,215
13879,210,1,667.5,3,1,5,315
13880,10,1,414.81,5,1,5,515
13892,116,1,111.54,4,1,2,412
13894,62,1,612.29,5,1,5,515
13910,43,1,452.21,5,1,5,515
13919,159,1,181.38,3,1,3,313
13925,308,1,103.07,1,1,2,112
13936,157,1,156.33,3,1,3,313
13937,141,1,73.08,4,1,1,411
13943,251,1,686.8,2,1,5,215
13944,182,1,377.63,3,1,4,314
13960,165,1,133.41,3,1,2,312
13966,60,1,147.17,5,1,3,513
13989,172,1,178.38,3,1,3,313
13991,118,1,60.06,4,1,1,411
14011,170,1,354.93,3,1,4,314
14013,256,1,131.05,2,1,2,212
14041,275,1,153.25,2,1,3,213
14045,74,1,128.9,4,1,2,412
14056,354,1,164.45,1,1,3,113
14084,131,2,1091.43,4,5,5,455
14085,92,1,86.05,4,1,2,412
14092,27,1,505.23,5,1,5,515
14097,336,1,551.59,1,1,5,115
14099,207,1,862.54,3,1,5,315
14102,200,1,102.63,3,1,2,312
14123,101,1,205.52,4,1,3,413
14125,94,2,1119.33,4,5,5,455
14126,138,1,25.15,4,1,1,411
14130,70,1,173.46,5,1,3,513
14136,338,1,142.44,1,1,3,113
14153,180,1,269.07,3,1,4,314
14163,204,1,100.88,3,1,2,312
14187,84,1,109.86,4,1,2,412
14191,99,1,194.6,4,1,3,413
14200,163,1,363.16,3,1,4,314
14219,81,1,123.77,4,1,2,412
14231,365,1,98.78,1,1,2,112
14237,192,1,955.05,3,1,5,315
14246,338,1,154.91,1,1,3,113
14254,334,1,91.47,1,1,2,112
14262,45,1,127.49,5,1,2,512
14282,138,1,176.22,4,1,3,413
14285,228,1,101.03,2,1,2,212
14294,2,2,1019.43,5,5,5,555
14299,207,1,50.01,3,1,1,311
14302,101,1,130.11,4,1,2,412
14311,306,2,375.3,1,5,4,154
14315,103,1,895.02,4,1,5,415
14316,92,1,60.97,4,1,1,411
14323,131,1,355.51,4,1,4,414
14326,236,1,374.76,2,1,4,214
14342,330,1,79.24,1,1,2,112
14358,122,1,178.72,4,1,3,413
14367,98,1,235.66,4,1,4,414
14373,176,1,734.8,3,1,5,315
14379,140,1,124.89,4,1,2,412
14382,55,1,107.85,5,1,2,512
14387,333,1,225.66,1,1,4,114
14401,308,1,192.73,1,1,3,113
14408,128,1,1049.53,4,1,5,415
14414,296,1,225.06,1,1,4,114
14416,29,1,173.17,5,1,3,513
14428,116,1,154.06,4,1,3,413
14429,151,1,759.3,3,1,5,315
14442,227,1,156.66,2,1,3,213
14448,340,1,110.05,1,1,2,112
14452,280,1,203.51,2,1,3,213
14463,25,1,1641.54,5,1,5,515
14477,288,1,96.45,2,1,2,212
14512,294,1,353.42,1,1,4,114
14517,78,1,118.41,4,1,2,412
14528,30,1,35.2,5,1,1,511
14539,102,1,67.32,4,1,1,411
14549,61,1,163.07,5,1,3,513
14552,183,1,33.29,3,1,1,311
14566,140,1,192.81,4,1,3,413
14580,46,1,56.88,5,1,1,511
14583,57,1,100.51,5,1,2,512
14605,284,1,265.62,2,1,4,214
14610,181,1,126.85,3,1,2,312
14625,105,2,86.43,4,5,2,452
14636,174,1,52.55,3,1,1,311
14666,16,1,533.77,5,1,5,515
14672,339,1,140.19,1,1,3,113
14693,232,1,160.76,2,1,3,213
14702,174,1,156.28,3,1,3,313
14706,34,1,13.44,5,1,1,511
14708,155,1,57.94,3,1,1,311
14755,139,1,151.54,4,1,3,413
14763,170,1,219.98,3,1,3,313
14771,51,1,63.66,5,1,1,511
14812,68,1,590.92,5,1,5,515
14826,85,1,89.11,4,1,2,412
14827,120,1,166.08,4,1,3,413
14831,144,1,123.06,3,1,2,312
14839,79,2,771.08,4,5,5,455
14842,163,1,238.63,3,1,4,314
14843,279,1,286.86,2,1,4,214
14849,316,1,284.96,1,1,4,114
14875,254,2,327.93,2,5,4,254
14886,268,1,22.73,2,1,1,211
14888,261,1,59.09,2,1,1,211
14901,75,1,399.33,4,1,5,415
14909,302,1,233.31,1,1,4,114
14920,193,1,1094.09,3,1,5,315
14924,75,1,30.09,4,1,1,411
14931,174,1,144.0,3,1,3,313
14935,212,1,58.21,3,1,1,311
14938,149,1,158.07,3,1,3,313
14950,18,1,690.46,5,1,5,515
14954,263,1,169.39,2,1,3,213
14970,83,1,82.54,4,1,2,412
14973,161,1,430.48,3,1,5,315
14993,170,1,419.67,3,1,5,315
14996,330,1,518.27,1,1,5,115
15005,49,1,24.21,5,1,1,511
15020,188,1,76.57,3,1,2,312
15025,107,1,157.21,4,1,3,413
15031,341,1,39.82,1,1,1,111
15034,340,1,534.84,1,1,5,115
15035,82,1,160.75,4,1,3,413
15036,255,1,37.17,2,1,1,211
15039,200,1,290.34,3,1,4,314
15056,139,1,883.99,4,1,5,415
15062,190,1,283.1,3,1,4,314
15065,44,1,250.37,5,1,4,514
15079,118,1,89.19,4,1,2,412
15080,255,1,144.72,2,1,3,213
15092,228,1,11.69,2,1,1,211
15107,344,1,35.03,1,1,1,111
15108,26,1,187.82,5,1,3,513
15117,35,1,359.14,5,1,4,514
15118,21,1,353.23,5,1,4,514
15142,119,1,104.22,4,1,2,412
15151,86,1,262.02,4,1,4,414
15157,106,1,714.88,4,1,5,415
15158,270,1,251.26,2,1,4,214
15162,294,1,226.39,1,1,4,114
15164,109,1,126.31,4,1,2,412
15165,321,1,13.08,1,1,1,111
15192,60,1,148.7,5,1,3,513
15194,254,1,42.72,2,1,1,211
15197,335,1,37.51,1,1,1,111
15218,239,1,65.42,2,1,1,211
15220,149,1,36.81,3,1,1,311
15225,1,1,205.64,5,1,3,513
15229,305,1,166.97,1,1,3,113
15237,271,1,426.71,2,1,5,215
15243,294,1,147.02,1,1,3,113
15252,161,1,252.33,3,1,4,314
15274,7,1,330.46,5,1,4,514
15278,311,1,432.43,1,1,5,115
15282,280,1,137.58,2,1,3,213
15288,207,1,132.49,3,1,2,312
15291,297,1,16.73,1,1,1,111
15293,1,1,123.72,5,1,2,512
15294,216,1,138.64,2,1,3,213
15296,289,1,169.49,2,1,3,213
15301,160,1,210.3,3,1,3,313
15306,27,1,288.68,5,1,4,514
15312,137,1,273.21,4,1,4,414
15322,128,1,379.97,4,1,4,414
15332,334,1,24.6,1,1,1,111
15341,193,1,34.14,3,1,1,311
15373,341,1,163.54,1,1,3,113
15375,153,1,136.35,3,1,3,313
15389,34,1,63.17,5,1,1,511
15408,32,1,284.65,5,1,4,514
15412,306,1,131.65,1,1,2,112
15420,23,1,79.44,5,1,2,512
15426,216,1,442.98,2,1,5,215
15433,318,1,207.84,1,1,3,113
15434,319,1,107.25,1,1,2,112
15439,99,1,240.06,4,1,4,414
15444,191,1,111.36,3,1,2,312
15446,250,1,259.49,2,1,4,214
15447,2,1,149.03,5,1,3,513
15461,120,1,135.21,4,1,3,413
15480,286,1,88.3,2,1,2,212
15482,35,1,21.96,5,1,1,511
15486,16,1,96.61,5,1,2,512
15493,18,1,408.81,5,1,5,515
15495,231,1,297.79,2,1,4,214
15502,201,1,12.01,3,1,1,311
15504,147,1,494.18,3,1,5,315
15506,269,1,1316.14,2,1,5,215
15516,185,1,243.65,3,1,4,314
15517,149,1,94.58,3,1,2,312
15527,147,1,128.75,3,1,2,312
15531,105,1,543.57,4,1,5,415
15539,35,1,538.26,5,1,5,515
15543,179,1,506.22,3,1,5,315
15558,272,1,207.65,2,1,3,213
15559,138,1,96.06,4,1,2,412
15560,204,1,292.05,3,1,4,314
15563,231,1,618.71,2,1,5,215
15565,284,1,362.95,2,1,4,214
15569,35,1,496.38,5,1,5,515
15577,330,1,225.63,1,1,4,114
15578,314,1,621.12,1,1,5,115
15587,193,1,254.62,3,1,4,314
15620,224,1,157.42,2,1,3,213
15628,269,1,401.86,2,1,5,215
15634,224,1,207.4,2,1,3,213
15643,173,1,268.07,3,1,4,314
15648,322,1,117.59,1,1,2,112
15688,305,1,516.93,1,1,5,115
15712,84,1,346.85,4,1,4,414
15717,132,1,83.66,4,1,2,412
15720,192,1,544.3,3,1,5,315
15722,34,1,67.69,5,1,1,511
15725,8,1,177.76,5,1,3,513
15728,175,1,371.4,3,1,4,314
15730,308,1,287.89,1,1,4,114
15734,192,1,152.57,3,1,3,313
15744,22,2,321.55,5,5,4,554
15749,348,1,136.07,1,1,3,113
15753,72,1,205.23,4,1,3,413
15754,266,1,61.63,2,1,1,211
15773,245,1,151.24,2,1,3,213
15780,55,1,95.69,5,1,2,512
15784,53,1,317.7,5,1,4,514
15797,71,1,351.45,4,1,4,414
15801,357,1,365.49,1,1,4,114
15806,206,1,259.13,3,1,4,314
15807,225,1,369.95,2,1,4,214
15808,292,1,243.32,1,1,4,114
15835,195,1,62.48,3,1,1,311
15847,77,1,52.92,4,1,1,411
15856,158,1,93.77,3,1,2,312
15869,242,1,123.23,2,1,2,212
15872,95,1,267.92,4,1,4,414
15882,61,1,49.52,5,1,1,511
15891,231,1,118.27,2,1,2,212
15892,116,1,597.14,4,1,5,415
15900,168,1,77.68,3,1,2,312
15901,20,1,110.02,5,1,2,512
15912,187,1,24.6,3,1,1,311
15918,256,1,469.95,2,1,5,215
15920,114,1,124.94,4,1,2,412
15925,3,1,146.2,5,1,3,513
15928,157,1,249.33,3,1,4,314
15932,315,2,731.32,1,5,5,155
15936,82,1,262.32,4,1,4,414
15937,74,1,380.75,4,1,4,414
15942,172,1,54.14,3,1,1,311
15951,291,1,694.47,1,1,5,115
15956,311,1,48.72,1,1,1,111
15963,150,1,227.29,3,1,4,314
15967,102,1,323.7,4,1,4,414
15970,352,1,20.81,1,1,1,111
15981,322,1,85.7,1,1,2,112
15994,133,1,738.17,4,1,5,415
15998,146,1,113.56,3,1,2,312
16004,305,1,196.52,1,1,3,113
16010,162,1,146.41,3,1,3,313
16016,96,1,244.12,4,1,4,414
16050,75,1,371.9,4,1,4,414
16055,343,1,253.65,1,1,4,114
16056,198,1,456.28,3,1,5,315
16063,247,1,194.19,2,1,3,213
16070,210,1,71.99,3,1,1,311
16124,85,1,262.44,4,1,4,414
16141,212,2,440.03,3,5,5,355
16145,126,1,130.08,4,1,2,412
16150,330,1,166.5,1,1,3,113
16158,235,1,559.77,2,1,5,215
16162,105,1,85.39,4,1,2,412
16169,36,1,143.37,5,1,3,513
16174,345,1,56.81,1,1,1,111
16178,177,1,117.62,3,1,2,312
16179,124,1,254.39,4,1,4,414
16182,254,1,42.82,2,1,1,211
16198,181,1,30.21,3,1,1,311
16200,71,1,43.72,4,1,1,411
16207,48,1,53.44,5,1,1,511
16223,200,1,52.9,3,1,1,311
16261,194,1,560.43,3,1,5,315
16268,186,1,53.05,3,1,1,311
16272,19,1,81.79,5,1,2,512
16301,128,1,66.78,4,1,1,411
16306,12,1,523.63,5,1,5,515
16309,65,1,102.11,5,1,2,512
16321,233,1,191.88,2,1,3,213
16325,286,1,380.93,2,1,4,214
16327,334,1,62.25,1,1,1,111
16392,194,1,387.89,3,1,5,315
16420,137,1,338.62,4,1,4,414
16424,281,1,195.2,2,1,3,213
16429,361,1,164.87,1,1,3,113
16434,241,1,583.15,2,1,5,215
16436,361,1,155.12,1,1,3,113
16444,326,1,21.72,1,1,1,111
16458,253,1,170.06,2,1,3,213
16466,22,1,423.54,5,1,5,515
16490,229,1,119.6,2,1,2,212
16493,192,1,176.21,3,1,3,313
16499,155,1,569.01,3,1,5,315
16509,320,1,46.6,1,1,1,111
16546,166,1,164.81,3,1,3,313
16549,275,1,617.77,2,1,5,215
16567,164,1,175.26,3,1,3,313
16568,11,2,477.57,5,5,5,555
16583,343,1,500.79,1,1,5,115
16586,334,1,994.92,1,1,5,115
16588,342,1,1301.15,1,1,5,115
16590,160,1,724.09,3,1,5,315
16605,9,1,265.6,5,1,4,514
16613,249,1,140.64,2,1,3,213
16628,276,1,30.15,2,1,1,211
16632,221,1,319.7,2,1,4,214
16642,232,1,334.74,2,1,4,214
16649,325,1,52.55,1,1,1,111
16658,344,1,10.28,1,1,1,111
16681,23,1,244.63,5,1,4,514
16713,261,1,219.26,2,1,3,213
16719,40,1,52.09,5,1,1,511
16720,337,1,233.21,1,1,4,114
16723,126,1,131.97,4,1,2,412
16736,243,1,373.58,2,1,4,214
16746,149,1,73.81,3,1,1,311
16753,182,1,274.49,3,1,4,314
16758,291,1,86.31,1,1,2,112
16776,161,1,60.83,3,1,1,311
16778,338,1,219.27,1,1,3,113
16782,300,2,967.68,1,5,5,155
16796,316,1,659.57,1,1,5,115
16801,240,1,532.26,2,1,5,215
16803,1,1,75.8,5,1,2,512
16805,152,1,103.25,3,1,2,312
16814,318,1,343.17,1,1,4,114
16836,344,1,238.5,1,1,4,114
16845,158,1,146.54,3,1,3,313
16846,195,1,73.39,3,1,1,311
16856,36,1,110.9,5,1,2,512
16859,130,1,502.49,4,1,5,415
16868,214,1,42.72,3,1,1,311
16871,42,1,20.64,5,1,1,511
16884,100,1,88.44,4,1,2,412
